series_master_id,transf_id,series_insumo_ids,rol,freq,unit_measure,adjustment,inicio,fin,linaje_l0,notas
PIB.SA.PROPIO.Q,T002_AJUSTE_ESTACIONAL_PROPIO,"BCR.PIB.VOL.NSA.Q.RETRO, BCR.PIB.VOL.NSA.Q",target_primary,Q,"índice de volumen encadenado, referencia 2014",SA (propio),1990-Q1,2026-Q1,"(los dos archivos NSA en L0, según manifiesto)","Materializada 2026-09-16 por src/transformacion/l3_pib_objetivo.R -> data/L3_master/PIB_SA_PROPIO_Q.csv (145 obs, capa generada no versionada) + PIB_SA_PROPIO_Q_outliers.csv (2 outliers AO, 2020-Q2 y 2020-Q3, conforme a ADR-004)."
PIB.SA.OFICIAL.Q,,BCR.PIB.VOL.SA.Q,target_robustness,Q,"índice de volumen encadenado, referencia 2014",SA (oficial BCR),2005-Q1,2026-Q1,"(archivo SA nativo en L0, según manifiesto)","Antes target primario en ADR-001 original; rol invertido tras hallazgo de cobertura (enmienda 2026-08-07). Pass-through directo de la publicación, sin transformación. Materializada 2026-09-16 por src/transformacion/l3_pib_objetivo.R -> data/L3_master/PIB_SA_OFICIAL_Q.csv (85 obs)."
"BCR.IVAE.VOL.SA.M","","BCR.IVAE.VOL.SA.M","predictor","M","índice de volumen","SA (oficial BCR)","2005-M01","2026-M05","BCR_ivae_vigente_2026-08-25.xlsx (manifiesto)","Pass-through directo de la publicación (ya es índice de volumen y ya viene SA de fuente) -- sin transformación, sin transf_id. Primer predictor de la matriz (senda §6.4). Materializada 2026-09-16 por src/transformacion/l3_predictores.R -> data/L3_master/BCR_IVAE_VOL_SA_M.csv (257 obs)."
"BCR.IVAE.VOL.SA.Q","T003_AGREGACION_TRIMESTRAL_IVAE","BCR.IVAE.VOL.SA.M","predictor","Q","índice de volumen","SA (oficial BCR)","2005-Q1","2026-Q1","BCR_ivae_vigente_2026-08-25.xlsx (manifiesto)","Agregado trimestral (promedio simple, ADR-010) de BCR.IVAE.VOL.SA.M. 2026-Q2 excluido por incompleto (solo abril-mayo publicados al momento de esta corrida). Materializada 2026-09-16 -> data/L3_master/BCR_IVAE_VOL_SA_Q.csv (85 obs)."
"BCR.REMESAS.NOM.NSA.M",,"BCR.REMESAS.NOM.NSA.M","predictor","M","dólares corrientes (millones)","NSA","1991-M01","2026-M07","BCR_remesas_familiares_mensual_2026-09-16.xlsx (manifiesto)","Pass-through directo de la publicación (sin transformación, sin transf_id) -- segundo predictor de la matriz (senda §6.4, sector externo). Serie NSA (no viene desestacionalizada de fuente, a diferencia de BCR.IVAE.VOL.SA.M). Captura L0 just-in-time el 2026-09-16 (no estaba en los lotes de Fase 2). Materializada 2026-09-16 por src/transformacion/l3_predictores.R -> data/L3_master/BCR_REMESAS_NOM_NSA_M.csv (427 obs). Se mantiene NSA por decisión (ADR-010, enmienda ajuste estacional, 2026-09-16), no por omisión: sin ajuste estacional propio en L3 para predictoras, mismo criterio ya fijado para outliers -- lo maneja cada modelo en Fase 5."
"BCR.REMESAS.NOM.NSA.Q","T005_AGREGACION_TRIMESTRAL_REMESAS_NOM","BCR.REMESAS.NOM.NSA.M","predictor","Q","dólares corrientes (millones)","NSA","1991-Q1","2026-Q2","BCR_remesas_familiares_mensual_2026-09-16.xlsx (manifiesto)","Agregado trimestral por SUMA (no promedio: remesas es un flujo mensual, ADR-010) de BCR.REMESAS.NOM.NSA.M. 2026-Q3 excluido por incompleto (solo julio publicado al momento de esta corrida). Materializada 2026-09-16 -> data/L3_master/BCR_REMESAS_NOM_NSA_Q.csv (142 obs)."
"BCR.REMESAS.REAL.NSA.M","T004_DEFLACTAR_REMESAS","BCR.REMESAS.NOM.NSA.M, ONEC.IPC.IDX.NSA.M","predictor","M","dólares constantes de diciembre 2009 (millones)","NSA","2009-M12","2026-M07","BCR_remesas_familiares_mensual_2026-09-16.xlsx + BCR_ipc_base_2009_2026-09-16.xlsx (manifiesto)","Deflactada por ONEC.IPC.IDX.NSA.M (T004): valor_real = valor_nominal / (IPC/100). Por decisión de Harold (2026-09-16), remesas se materializa en dos versiones -- esta es la real, ver BCR.REMESAS.NOM.NSA.M para la nominal. Cobertura limitada por el arranque de ONEC.IPC.BASE_2009 (dic-2009), no por la nominal (que llega hasta 1991-M01) -- ver notas de T004. Materializada 2026-09-16 -> data/L3_master/BCR_REMESAS_REAL_NSA_M.csv (200 obs)."
"BCR.REMESAS.REAL.NSA.Q","T006_AGREGACION_TRIMESTRAL_REMESAS_REAL","BCR.REMESAS.NOM.NSA.M, ONEC.IPC.IDX.NSA.M","predictor","Q","dólares constantes de diciembre 2009 (millones)","NSA","2010-Q1","2026-Q2","BCR_remesas_familiares_mensual_2026-09-16.xlsx + BCR_ipc_base_2009_2026-09-16.xlsx (manifiesto)","Agregado trimestral por SUMA (T006, mismo criterio que T005) de BCR.REMESAS.REAL.NSA.M. 2009-Q4 (solo diciembre) y 2026-Q3 (solo julio) excluidos por borde de cobertura, no por hueco. Materializada 2026-09-16 -> data/L3_master/BCR_REMESAS_REAL_NSA_Q.csv (66 obs)."
"BCR.IPP.IDX.NSA.M",,"BCR.IPP.IDX.NSA.M","predictor","M","índice de precios (base dic-2009=100)","NSA","2009-M12","2026-M07","BCR_ipp_2026-08-26.xlsx (manifiesto)","Pass-through directo de la publicación (sin transformación, sin transf_id) -- tercer predictor de la matriz (senda §6.4, precios). Índice de NIVEL, no de flujo (a diferencia de BCR.REMESAS): se agrega a trimestral por promedio, mismo criterio que BCR.IVAE.VOL.SA.M. NSA de fuente (sin ajuste estacional propio en L3, ADR-010 enmienda 2026-09-16); no se deflacta (ya es un índice de precios, no una serie monetaria nominal). Cobertura arranca en dic-2009 por construcción del índice (base=100), no por un hueco -- ver fuente_celda en 03_series.csv. Materializada 2026-09-16 por src/transformacion/l3_predictores.R -> data/L3_master/BCR_IPP_IDX_NSA_M.csv (200 obs)."
"BCR.IPP.IDX.NSA.Q","T007_AGREGACION_TRIMESTRAL_IPP","BCR.IPP.IDX.NSA.M","predictor","Q","índice de precios (base dic-2009=100)","NSA","2010-Q1","2026-Q2","BCR_ipp_2026-08-26.xlsx (manifiesto)","Agregado trimestral por PROMEDIO (T007, mismo criterio que T003/IVAE: índice de nivel, no flujo) de BCR.IPP.IDX.NSA.M. 2009-Q4 (solo diciembre) y 2026-Q3 (solo julio) excluidos por borde de cobertura, no por hueco -- mismo patrón que BCR.REMESAS.REAL.NSA.Q. Materializada 2026-09-16 -> data/L3_master/BCR_IPP_IDX_NSA_Q.csv (66 obs)."
