ruptura_id,periodo,descripcion,tipo,series_afectadas,tipo_referencia,metodologia_ref,tratamiento,notas
R001_DOLARIZACION_2001,2001-Q1,"Adopción del dólar estadounidense como moneda de curso legal (Ley de Integración Monetaria, vigente desde 2001-01-01) — cambio de régimen monetario.","cambio de régimen monetario","BCR.PIB.VOL.NSA.Q.RETRO",serie_id,"ADR-003 (Consecuencias); ADR-004; senda metodológica §2 (D4)","No modelado explícitamente — documentado por completitud. Cae en el tramo retropolado 1990-2005, fuera del tramo donde ADR-004 aplica su estrategia de detección de outliers vía ajuste estacional propio.","Coincide temporalmente con los terremotos de 2001 (R002) — ambos eventos caen en el mismo trimestre del tramo retropolado."
R002_TERREMOTOS_2001,2001-Q1,"Terremotos del 13 de enero y el 13 de febrero de 2001, con impacto significativo en infraestructura y actividad económica de corto plazo.","evento natural / shock de oferta","BCR.PIB.VOL.NSA.Q.RETRO",serie_id,"ADR-003 (Consecuencias); ADR-004; senda metodológica §2 (D4)","No modelado explícitamente — documentado por completitud. Mismo tramo y misma no-cobertura por la estrategia de ADR-004 que R001.",""
R003_CAFTA_DR,2006-Q1,"Entrada en vigor del Tratado de Libre Comercio entre Centroamérica, República Dominicana y Estados Unidos (CAFTA-DR) para El Salvador — primer país en ratificarlo, vigente desde 2006-03-01.","cambio de política comercial","BCR.PIB.VOL.NSA.Q, BCR.PIB.VOL.SA.Q",serie_id,"ADR-004; senda metodológica §2 (D4)","No modelado explícitamente — documentado por completitud.",""
R004_CRISIS_FINANCIERA_GLOBAL,2008/2009,"Crisis financiera global y su transmisión a la economía salvadoreña vía remesas, comercio y financiamiento externo.","shock externo / financiero","BCR.PIB.VOL.NSA.Q, BCR.PIB.VOL.SA.Q",serie_id,"ADR-004; senda metodológica §2 (D4)","No modelado explícitamente — documentado por completitud.","Precisión trimestral del rango de impacto no verificada contra fuente primaria — periodo expresado a nivel de año (ISO 8601, intervalo 2008/2009); afinar en Fase 1 si se requiere para el contraste de submuestras de ADR-004."
R005_BITCOIN_2021,2021-Q3,"Adopción del bitcoin como moneda de curso legal (Ley Bitcoin, vigente desde 2021-09-07).","cambio institucional / monetario","BCR.PIB.VOL.NSA.Q, BCR.PIB.VOL.SA.Q",serie_id,"ADR-004; senda metodológica §2 (D4)","No modelado explícitamente — documentado por completitud.","Temporalmente próximo a la fase de recuperación post-shock 2020 (ver ADR-004) — no confundir con el shock de 2020 mismo, que sí recibe tratamiento explícito de outlier."
R006_RECLASIFICACION_PLAZOS_PANORAMA_2015,2015-09,"Reclasificación de saldos de corto a mediano/largo plazo dentro del Panorama de las Sociedades de Depósito y de los Indicadores Monetarios y Crediticios (MEMF 2001) — modifica la serie histórica por cambio de catálogo contable de Bancos, Bancos Cooperativos y Sociedades de Ahorro y Crédito.","cambio metodológico / requiere empalme","BCR.PANORAMA_SOCIEDADES_DEPOSITO, BCR.INDICADORES_MONETARIOS_CREDITICIOS",publicacion_id,"Nota propia del BCR citada en ambas publicaciones (01_publicaciones); MEMF 2001.","No corresponde tratamiento de estimación (a diferencia de R001-R005) — es una discontinuidad de fuente que afecta la construcción de series maestras en Fase 3, no una decisión de especificación de modelo en Fase 5. Pendiente de decidir en Fase 3 si se requiere ajuste retroactivo o se documenta como quiebre no corregido.","Distinta en naturaleza de R001-R005: no es un evento de la economía real sino una reclasificación administrativa/contable del propio BCR. Ver discusión de sesión 2026-08-10 sobre la diferencia entre rupturas reales y metodológicas dentro de este catálogo."
R007_METODOLOGIA_TASAS_INTERES_2022,2022-01,"Cambio de metodología de cálculo de las tasas de interés bancarias y rendimiento de reportos del sistema financiero: de Metodología 1994-2021 a Metodología 2022, vigente desde la primera semana de enero de 2022.","cambio metodológico / requiere empalme","BCR.TASAS_INTERES_PROMEDIO_PONDERADO, BCR.TASAS_INTERES_BANCARIAS_MET1994_2021_SEMANAL, BCR.TASAS_INTERES_BANCARIAS_MET1994_2021_MENSUAL, BCR.TASAS_INTERES_BANCARIAS_MET1994_2021_ANUAL",publicacion_id,"Notas propias del BCR citadas en las publicaciones afectadas (01_publicaciones).","No corresponde tratamiento de estimación (a diferencia de R001-R005) — discontinuidad de fuente relevante para Fase 3 (construcción de series maestras), no para la especificación del modelo en Fase 5. La afirmación de que ambas metodologías son 'empalmables' (reportada por Cowork) sigue sin verificación independiente — no asumir empalme directo.","Distinta en naturaleza de R001-R005 — ver discusión de sesión 2026-08-10. La serie mensual (Metodología 1994-2021) es antecesora directa con estructura idéntica de 20 variables a la serie vigente — candidata más fuerte a empalme dentro de esta familia, aún sin verificar."
R008_IVAE_BASE1990_VIGENTE,"2005/2017","Coexistencia sin empalme entre BCR.IVAE.BASE_1990 (clasificación sectorial agregada) y BCR.IVAE.VIGENTE (CIIU Rev.4) durante 2005-2017. Confirmado visualmente por Harold: clasificaciones no directamente reconciliables.","cambio metodológico / sin concordancia verificada","BCR.IVAE.BASE_1990, BCR.IVAE.VIGENTE",publicacion_id,"02_metodologias: IVAE_BASE1990 (predecesor) → IVAE_CIIU_REV4 (sucesor)","No corresponde tratamiento de estimación — discontinuidad de fuente relevante para Fase 3, no decisión de especificación de Fase 5. Explícitamente NO es empalme tipo ancla (a diferencia del PIB, D3/ADR-003): sin valor puntual compartido ni tabla de concordancia. Cualquier empalme en Fase 3 requeriría construir concordancia sector por sector.","Ver también R009 e R010, mismo patrón de la familia 'Base 1990' descontinuada dic-2017."
R009_IVOPI_IPI,"2005/2017","Sucesión con cambio de nombre/sigla: BCR.IVOPI.BASE_1990 sucedido por BCR.IPI.VIGENTE. No es solo cambio metodológico sino de nombre. Sin tabla de concordancia verificada.","cambio metodológico / sin concordancia verificada","BCR.IVOPI.BASE_1990, BCR.IPI.VIGENTE",publicacion_id,"02_metodologias: IVOPI_BASE1990 (predecesor) → IPI_VIGENTE (sucesor)","No corresponde tratamiento de estimación — mismo criterio que R008.","Ver también R008 y R010."
R010_IPRI_IPP,"2009/2017","BCR.IPRI.BASE_1990 (activo ene-1998 a oct-2017) coexistió con BCR.IPP (base dic-2009) durante 2009-2017 — no es un corte limpio pese a que el documento metodológico del IPP declara que 'pasará a sustituir al IPRI'.","cambio metodológico / sin concordancia verificada","BCR.IPRI.BASE_1990, BCR.IPP",publicacion_id,"02_metodologias: IPRI_BASE1990 (predecesor) → IPP_BASE2009 (sucesor)","No corresponde tratamiento de estimación — mismo criterio que R008/R009. Verificar con Harold si hubo operación paralela deliberada o si la fecha real de discontinuación del IPRI difiere de oct-2017.","BCR.IPRI.BASE_1990 catalogada en esta misma sesión — antes solo existía como nota dentro de BCR.IPP."
