"seccion","variable","mes_publicacion","dia_publicacion","tipo_referencia","periodo_referencia"
"Sector Real","Índice de Precios al Consumidor (IPC)","Agosto",14,"mensual","2026-07"
"Sector Real","Índice de Precios al Consumidor (IPC)","Septiembre",7,"mensual","2026-08"
"Sector Real","Índice de Precios al Consumidor (IPC)","Octubre",7,"mensual","2026-09"
"Sector Real","Índice de Precios al Consumidor (IPC)","Noviembre",9,"mensual","2026-10"
"Sector Real","Índice de Precios al Productor (IPP)","Agosto",18,"mensual","2026-07"
"Sector Real","Índice de Precios al Productor (IPP)","Septiembre",9,"mensual","2026-08"
"Sector Real","Índice de Precios al Productor (IPP)","Octubre",9,"mensual","2026-09"
"Sector Real","Índice de Precios al Productor (IPP)","Noviembre",11,"mensual","2026-10"
"Sector Real","Índice de Producción Industrial (IPI). Serie desestacionalizada","Agosto",10,"mensual","2026-06"
"Sector Real","Índice de Producción Industrial (IPI). Serie desestacionalizada","Septiembre",10,"mensual","2026-07"
"Sector Real","Índice de Producción Industrial (IPI). Serie desestacionalizada","Octubre",9,"mensual","2026-08"
"Sector Real","Índice de Producción Industrial (IPI). Serie desestacionalizada","Noviembre",10,"mensual","2026-09"
"Sector Real","Índice de Volumen de la Actividad Económica (IVAE). Serie desestacionalizada","Agosto",31,"mensual","2026-06"
"Sector Real","Índice de Volumen de la Actividad Económica (IVAE). Serie desestacionalizada","Septiembre",30,"mensual","2026-07"
"Sector Real","Índice de Volumen de la Actividad Económica (IVAE). Serie desestacionalizada","Octubre",30,"mensual","2026-08"
"Sector Real","Índice de Volumen de la Actividad Económica (IVAE). Serie desestacionalizada","Noviembre",30,"mensual","2026-09"
"Sector Real","PIB T. Producción y gasto. Índices de volumen encadenados. Serie desestacionalizada (referencia 2014)","Septiembre",30,"trimestral","2026-T2"
"Sector Real","Índice Subyacente de Inflación (ISI) Base dic. 2009.","Agosto",18,"mensual","2026-07"
"Sector Real","Índice Subyacente de Inflación (ISI) Base dic. 2009.","Septiembre",9,"mensual","2026-08"
"Sector Real","Índice Subyacente de Inflación (ISI) Base dic. 2009.","Octubre",9,"mensual","2026-09"
"Sector Real","Índice Subyacente de Inflación (ISI) Base dic. 2009.","Noviembre",11,"mensual","2026-10"
"Sector Fiscal","Sector Público No Financiero (Serie 1994-2025)","Agosto",31,"mensual","2026-07"
"Sector Fiscal","Sector Público No Financiero (Serie 1994-2025)","Septiembre",30,"mensual","2026-08"
"Sector Fiscal","Sector Público No Financiero (Serie 1994-2025)","Octubre",30,"mensual","2026-09"
"Sector Fiscal","Sector Público No Financiero (Serie 1994-2025)","Noviembre",30,"mensual","2026-10"
"Sector Fiscal","Gobierno Central Consolidado","Agosto",31,"mensual","2026-07"
"Sector Fiscal","Gobierno Central Consolidado","Septiembre",30,"mensual","2026-08"
"Sector Fiscal","Gobierno Central Consolidado","Octubre",30,"mensual","2026-09"
"Sector Fiscal","Gobierno Central Consolidado","Noviembre",30,"mensual","2026-10"
"Sector Fiscal","Deuda del Gobierno Central Trimestral","Octubre",30,"trimestral","2026-T3"
"Sector Monetario y Financiero","Panorama de las sociedades de depósito","Agosto",31,"mensual","2026-07"
"Sector Monetario y Financiero","Panorama de las sociedades de depósito","Septiembre",30,"mensual","2026-08"
"Sector Monetario y Financiero","Panorama de las sociedades de depósito","Octubre",30,"mensual","2026-09"
"Sector Monetario y Financiero","Panorama de las sociedades de depósito","Noviembre",30,"mensual","2026-10"
"Sector Monetario y Financiero","Panorama del Banco Central","Agosto",10,"mensual","2026-07"
"Sector Monetario y Financiero","Panorama del Banco Central","Septiembre",7,"mensual","2026-08"
"Sector Monetario y Financiero","Panorama del Banco Central","Octubre",7,"mensual","2026-09"
"Sector Monetario y Financiero","Panorama del Banco Central","Noviembre",6,"mensual","2026-10"
"Sector Externo","Ingresos mensuales de remesas familiares","Agosto",27,"mensual","2026-07"
"Sector Externo","Ingresos mensuales de remesas familiares","Septiembre",24,"mensual","2026-08"
"Sector Externo","Ingresos mensuales de remesas familiares","Octubre",23,"mensual","2026-09"
"Sector Externo","Ingresos mensuales de remesas familiares","Noviembre",24,"mensual","2026-10"
"Sector Externo","Índices de Precios del Comercio Exterior - Trimestral","Septiembre",30,"trimestral","2026-T2"
"Sector Externo","Balanza Comercial de Mercancías. Valores","Agosto",27,"mensual","2026-07"
"Sector Externo","Balanza Comercial de Mercancías. Valores","Septiembre",24,"mensual","2026-08"
"Sector Externo","Balanza Comercial de Mercancías. Valores","Octubre",23,"mensual","2026-09"
"Sector Externo","Balanza Comercial de Mercancías. Valores","Noviembre",24,"mensual","2026-10"
"Sector Externo","Saldo Bruto de la Deuda Externa Total En Millones de US$","Septiembre",30,"trimestral","2026-T2"
"Sector Externo","Posición de Inversión Internacional a fin de período","Septiembre",30,"trimestral","2026-T2"
