"serie_id","transformacion","n_obs","adf_tipo","adf_estadistico","adf_cval_1pct","adf_cval_5pct","adf_cval_10pct","adf_rezagos","adf_techo_rezagos","adf_ljung_box_p","adf_rechaza_raiz_unitaria","kpss_tipo","kpss_estadistico","kpss_cval_1pct","kpss_cval_5pct","kpss_cval_10pct","kpss_rezagos_truncamiento","kpss_rechaza_estacionariedad","conclusion","adf_estadistico_con_estacional","adf_rezagos_con_estacional","adf_rechaza_raiz_unitaria_con_estacional","adf_f_dummies_estacionales","adf_f_dummies_p","adf_f_dummies_gl_num","adf_f_dummies_gl_den","conclusion_con_estacional","adf_estadistico_con_outliers","adf_n_outliers_consumidos","fecha_generacion"
"BCR_EXPORT_FOB_NOM_NSA_M","diff",389,"drift",-7.79377811538888,-3.44,-2.87,-2.57,11,16,0.01481623798985,TRUE,"mu",0.0134360906091328,0.739,0.463,0.347,5,FALSE,"estacionaria",-18.3142107461806,1,TRUE,17.5079836937365,8.98213039046828e-28,11,358,"estacionaria",,0,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_M","diff_log",389,"drift",-7.90577115679844,-3.44,-2.87,-2.57,11,16,0.0207963451251937,TRUE,"mu",0.115334601749877,0.739,0.463,0.347,5,FALSE,"estacionaria",-11.8587787589369,4,TRUE,18.037378866341,1.66810341609512e-28,11,355,"estacionaria",,0,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_M","log",390,"trend",-2.96471213177353,-3.98,-3.42,-3.13,12,16,0.021925599630456,FALSE,"tau",0.954053557902614,0.216,0.146,0.119,5,TRUE,"no_estacionaria",-4.27886979511355,2,TRUE,16.5483266698739,2.52069432414259e-26,11,357,"ambigua_ambas_rechazan",,0,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_M","nivel",390,"trend",-6.71125965474822,-3.98,-3.42,-3.13,1,16,9.50861722692764e-10,TRUE,"tau",0.323246140349672,0.216,0.146,0.119,5,TRUE,"ambigua_ambas_rechazan",-5.90539460549376,1,TRUE,15.7869105215772,3.48220756765128e-25,11,358,"ambigua_ambas_rechazan",,0,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_Q","diff",129,"drift",-9.90581306006782,-3.46,-2.88,-2.57,2,12,0.898870164544422,TRUE,"mu",0.0315405518791398,0.739,0.463,0.347,4,FALSE,"estacionaria",-13.7686323987946,0,TRUE,10.8327156852772,2.67956248549214e-06,3,111,"estacionaria",,0,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_Q","diff_log",129,"drift",-10.6008218557106,-3.46,-2.88,-2.57,2,12,0.577579912063224,TRUE,"mu",0.23072774746116,0.739,0.463,0.347,4,FALSE,"estacionaria",-11.1889671767818,1,TRUE,9.69726432606532,9.88139164157258e-06,3,110,"estacionaria",,0,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_Q","log",130,"trend",-5.6362932012728,-3.99,-3.43,-3.13,0,12,0.0241321106424389,TRUE,"tau",0.470539569209752,0.216,0.146,0.119,4,TRUE,"ambigua_ambas_rechazan",-4.91710256637545,0,TRUE,9.19369725171881,1.74802885132662e-05,3,111,"ambigua_ambas_rechazan",,0,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_Q","nivel",130,"trend",-6.20493631420739,-3.99,-3.43,-3.13,0,12,0.0323734775915502,TRUE,"tau",0.198551856055349,0.216,0.146,0.119,4,TRUE,"ambigua_ambas_rechazan",-5.33073670625409,0,TRUE,10.5894782046648,3.52694791127297e-06,3,111,"ambigua_ambas_rechazan",,0,"2026-09-23"
"BCR_IPM_IDX_NSA_M","diff",256,"drift",-13.0244003990264,-3.44,-2.87,-2.57,0,15,0.290607094095588,TRUE,"mu",0.0786390558737353,0.739,0.463,0.347,5,FALSE,"estacionaria",-12.6248084176376,0,TRUE,1.02408528436207,0.425809501377206,11,227,"estacionaria",,0,"2026-09-23"
"BCR_IPM_IDX_NSA_M","diff_log",256,"drift",-13.2606673658245,-3.44,-2.87,-2.57,0,15,0.27371600720536,TRUE,"mu",0.0912927599720377,0.739,0.463,0.347,5,FALSE,"estacionaria",-12.8231864965384,0,TRUE,0.912694236302625,0.528850246093226,11,227,"estacionaria",,0,"2026-09-23"
