"serie_id","freq","n_obs","periodo_inicio","periodo_fin","n_esperado","n_hueco","huecos","media","sd","min","max","media_diff1","sd_diff1","fecha_generacion"
"BCR_EXPORT_FOB_NOM_NSA_M","M",390,"1994-M01","2026-M06",390,0,"",365.151974358974,140.106658871383,81.72,720.25,1.32508997429306,44.3111143850615,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_Q","Q",130,"1994-Q1","2026-Q2",130,0,"",1095.45592307692,414.260993517271,281.17,1875.73,11.286976744186,123.627492249933,"2026-09-23"
"BCR_IPM_IDX_NSA_M","M",257,"2005-M01","2026-M05",257,0,"",140.491517509728,20.8905066384242,99.21,185.47,0.31609375,2.56647976942402,"2026-09-23"
"BCR_IPM_IDX_NSA_Q","Q",85,"2005-Q1","2026-Q1",85,0,"",140.194980392157,20.7354334963453,99.7133333333333,183.34,0.833611111111115,4.73923242923318,"2026-09-23"
"BCR_IPP_IDX_NSA_M","M",200,"2009-M12","2026-M07",200,0,"",117.87225,10.0372568995637,99.94,139.88,0.200402010050251,0.39346664304342,"2026-09-23"
"BCR_IPP_IDX_NSA_Q","Q",66,"2010-Q1","2026-Q2",66,0,"",117.851363636364,9.92904805134441,100.116666666667,138.83,0.595589743589739,0.793360929949887,"2026-09-23"
"BCR_ITCER_IDX_NSA_M","M",318,"2000-M01","2026-M06",318,0,"",100.517641509434,3.14846591813229,93.09,109.45,0.0173817034700316,0.759217049263269,"2026-09-23"
"BCR_ITCER_IDX_NSA_Q","Q",106,"2000-Q1","2026-Q2",106,0,"",100.517641509434,3.12532526026171,93.7933333333333,108.253333333333,0.0659682539682477,0.97571644674701,"2026-09-23"
"BCR_IVAE_VOL_SA_M","M",257,"2005-M01","2026-M05",257,0,"",103.812840466926,13.5240566368178,80.2,135,0.2140625,1.90253636176635,"2026-09-23"
"BCR_IVAE_VOL_SA_Q","Q",85,"2005-Q1","2026-Q1",85,0,"",103.571764705882,13.2973129579494,82.1666666666667,132.266666666667,0.596428571428575,2.92835017518705,"2026-09-23"
"BCR_REMESAS_NOM_NSA_M","M",427,"1991-M01","2026-M07",427,0,"",316.132154566745,215.943017776294,53.1,961.12,1.8806338028169,47.5133161453372,"2026-09-23"
"BCR_REMESAS_NOM_NSA_Q","Q",142,"1991-Q1","2026-Q2",142,0,"",944.536478873239,639.950795172109,176.6,2628.93,17.2759574468085,95.5446656878246,"2026-09-23"
"BCR_REMESAS_REAL_NSA_M","M",200,"2009-M12","2026-M07",200,0,"",417.93169234623,123.058484032265,228.554360812425,734.29597371839,1.58872498874902,55.362129878659,"2026-09-23"
"BCR_REMESAS_REAL_NSA_Q","Q",66,"2010-Q1","2026-Q2",66,0,"",1251.78548782553,356.82016724211,826.714348395034,2004.20296058848,17.4552248740615,111.355368091761,"2026-09-23"
"PIB_SA_OFICIAL_Q","Q",85,"2005-Q1","2026-Q1",85,0,"",103.848588235294,14.4066455526063,80.95,135.1,0.644642857142857,3.10798018571027,"2026-09-23"
"PIB_SA_PROPIO_Q","Q",145,"1990-Q1","2026-Q1",145,0,"",90.1056602248966,20.4694028732238,53.7146288460354,134.80332983509,0.563115979090657,2.42331593011698,"2026-09-23"
"UT_DEMANDA_ELEC_GWH_NSA_M","M",295,"2002-M01","2026-M07",295,0,"",490.766305084746,75.3969342127524,312.76,694.66,1.19591836734694,28.36290515346,"2026-09-23"
"UT_DEMANDA_ELEC_GWH_NSA_Q","Q",98,"2002-Q1","2026-Q2",98,0,"",1470.2712244898,218.60796927714,989.19,1974.03,10.1529896907216,55.6167714918528,"2026-09-23"
