"serie_id","s","n","rezagos","t_cero","cv_t_cero","rechaza_cero","t_nyq","cv_t_nyq","rechaza_nyq","f_estacional","cv_f_estacional","gl_num","gl_den","rechaza_estacional_conjunta","replicas","fecha_generacion"
"BCR_EXPORT_FOB_NOM_NSA_M",12,372,0,-3.0366201379953,-3.32935179505298,FALSE,-6.46124658887761,-2.74910593014947,TRUE,77.6185793140052,4.47954535226058,11,347,TRUE,5000,"2026-09-23"
"BCR_EXPORT_FOB_NOM_NSA_Q",4,122,0,-3.22376170155786,-3.37413982961129,FALSE,-5.93088238031563,-2.81802162344291,TRUE,46.3597522761703,5.92916931991781,3,113,TRUE,5000,"2026-09-23"
"BCR_IPM_IDX_NSA_M",12,239,0,-2.35913182102619,-3.2879490344034,FALSE,-4.41505170768942,-2.78025934096879,TRUE,525.931521192594,4.42672391311639,11,214,TRUE,5000,"2026-09-23"
"BCR_IPM_IDX_NSA_Q",4,77,0,-2.71987222869604,-3.34697152026233,FALSE,-4.88843774135792,-2.82354882239552,TRUE,186.320228481425,5.92031349436911,3,68,TRUE,5000,"2026-09-23"
"BCR_IPP_IDX_NSA_M",12,182,0,-1.24972375410482,-3.26184900706188,FALSE,-3.07916416781273,-2.76690952371875,TRUE,981.9889107236,4.47722785864089,11,157,TRUE,5000,"2026-09-23"
"BCR_IPP_IDX_NSA_Q",4,58,0,-1.46387528272669,-3.36370170228635,FALSE,-4.28915709342654,-2.79045297981045,TRUE,344.37758689491,6.07361238116645,3,49,TRUE,5000,"2026-09-23"
"BCR_ITCER_IDX_NSA_M",12,300,0,-1.88985394272827,-3.28799108815786,FALSE,-4.30170297921771,-2.78362035051862,TRUE,132.174980977957,4.46184045423426,11,275,TRUE,5000,"2026-09-23"
"BCR_ITCER_IDX_NSA_Q",4,98,0,-2.03299260879656,-3.37645512188615,FALSE,-5.12138911580983,-2.88851130359175,TRUE,65.0027373261739,6.07118186217994,3,89,TRUE,5000,"2026-09-23"
"BCR_IVAE_VOL_SA_M",12,239,1,-2.47943705143791,-3.27479617425901,FALSE,-5.79307206262888,-2.74997942166615,TRUE,26.5175886340927,4.47122552824838,11,213,TRUE,5000,"2026-09-23"
"BCR_IVAE_VOL_SA_Q",4,77,0,-3.11838086628246,-3.34697152026233,FALSE,-4.77736974862376,-2.82354882239552,TRUE,34.3857888203227,5.92031349436911,3,68,TRUE,5000,"2026-09-23"
"BCR_REMESAS_NOM_NSA_M",12,409,3,-1.98224254278555,-3.33963679338895,FALSE,-3.52625825680302,-2.79145614617544,TRUE,23.5400155243189,4.46682202481323,11,381,TRUE,5000,"2026-09-23"
"BCR_REMESAS_NOM_NSA_Q",4,134,0,-1.75539205574787,-3.37272919560747,FALSE,-6.38821286075133,-2.8010684925939,TRUE,75.686315761544,5.95204942599795,3,125,TRUE,5000,"2026-09-23"
"BCR_REMESAS_REAL_NSA_M",12,182,0,-3.16232968906283,-3.26184900706188,FALSE,-3.14145618852412,-2.76690952371875,TRUE,46.6671750789464,4.47722785864089,11,157,TRUE,5000,"2026-09-23"
"BCR_REMESAS_REAL_NSA_Q",4,58,0,-2.87071943685949,-3.36370170228635,FALSE,-3.76906477607473,-2.79045297981045,TRUE,24.8341408817924,6.07361238116645,3,49,TRUE,5000,"2026-09-23"
"PIB_SA_OFICIAL_Q",4,77,0,-3.08085285163317,-3.34697152026233,FALSE,-4.56782406212095,-2.82354882239552,TRUE,34.4012516716638,5.92031349436911,3,68,TRUE,5000,"2026-09-23"
"PIB_SA_PROPIO_Q",4,137,0,-4.36604027333497,-3.35887832481291,TRUE,-6.47047025425194,-2.82942116033877,TRUE,67.9494824910015,5.82902225873031,3,128,TRUE,5000,"2026-09-23"
"UT_DEMANDA_ELEC_GWH_NSA_M",12,277,0,-2.37427033337449,-3.2995402510735,FALSE,-3.96930600911086,-2.74714737759546,TRUE,58.947506272788,4.43556583238952,11,252,TRUE,5000,"2026-09-23"
"UT_DEMANDA_ELEC_GWH_NSA_Q",4,90,0,-2.5258443432355,-3.30739152609698,FALSE,-4.34797771475238,-2.8243478799375,TRUE,30.139384020055,5.95330091289952,3,81,TRUE,5000,"2026-09-23"
