"bloque","item","metrica","valor","nota","fecha_generacion"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_M.csv","n_obs","390","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_M.csv","inicio","1994-M01","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_M.csv","fin","2026-M06","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_M.csv","huecos","0","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_M.csv","valores_ausentes","0","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_M.csv","n_vintages","1","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_M.csv","obs_al_primer_origen","231","convención A: el primer origen es 2013-Q1 (2013-M03 en mensuales)","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_Q.csv","n_obs","130","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_Q.csv","inicio","1994-Q1","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_Q.csv","fin","2026-Q2","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_Q.csv","huecos","0","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_Q.csv","valores_ausentes","0","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_Q.csv","n_vintages","1","","2026-09-23"
"serie_L3","BCR_EXPORT_FOB_NOM_NSA_Q.csv","obs_al_primer_origen","77","convención A: el primer origen es 2013-Q1 (2013-M03 en mensuales)","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_M.csv","n_obs","257","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_M.csv","inicio","2005-M01","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_M.csv","fin","2026-M05","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_M.csv","huecos","0","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_M.csv","valores_ausentes","0","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_M.csv","n_vintages","1","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_M.csv","obs_al_primer_origen","99","convención A: el primer origen es 2013-Q1 (2013-M03 en mensuales)","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_Q.csv","n_obs","85","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_Q.csv","inicio","2005-Q1","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_Q.csv","fin","2026-Q1","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_Q.csv","huecos","0","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_Q.csv","valores_ausentes","0","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_Q.csv","n_vintages","1","","2026-09-23"
"serie_L3","BCR_IPM_IDX_NSA_Q.csv","obs_al_primer_origen","33","convención A: el primer origen es 2013-Q1 (2013-M03 en mensuales)","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_M.csv","n_obs","200","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_M.csv","inicio","2009-M12","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_M.csv","fin","2026-M07","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_M.csv","huecos","0","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_M.csv","valores_ausentes","0","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_M.csv","n_vintages","1","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_M.csv","obs_al_primer_origen","40","convención A: el primer origen es 2013-Q1 (2013-M03 en mensuales)","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_Q.csv","n_obs","66","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_Q.csv","inicio","2010-Q1","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_Q.csv","fin","2026-Q2","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_Q.csv","huecos","0","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_Q.csv","valores_ausentes","0","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_Q.csv","n_vintages","1","","2026-09-23"
"serie_L3","BCR_IPP_IDX_NSA_Q.csv","obs_al_primer_origen","13","convención A: el primer origen es 2013-Q1 (2013-M03 en mensuales)","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_M.csv","n_obs","318","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_M.csv","inicio","2000-M01","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_M.csv","fin","2026-M06","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_M.csv","huecos","0","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_M.csv","valores_ausentes","0","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_M.csv","n_vintages","1","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_M.csv","obs_al_primer_origen","159","convención A: el primer origen es 2013-Q1 (2013-M03 en mensuales)","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_Q.csv","n_obs","106","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_Q.csv","inicio","2000-Q1","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_Q.csv","fin","2026-Q2","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_Q.csv","huecos","0","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_Q.csv","valores_ausentes","0","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_Q.csv","n_vintages","1","","2026-09-23"
"serie_L3","BCR_ITCER_IDX_NSA_Q.csv","obs_al_primer_origen","53","convención A: el primer origen es 2013-Q1 (2013-M03 en mensuales)","2026-09-23"
"serie_L3","BCR_IVAE_VOL_SA_M.csv","n_obs","257","","2026-09-23"
"serie_L3","BCR_IVAE_VOL_SA_M.csv","inicio","2005-M01","","2026-09-23"
